Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dandelion,&&&&&&&&&&&&,tulip,1,1,PRACTICE,FLOWER
2,+,carnation,&&&&&&&&&&&&,rose,1,1,PRACTICE,FLOWER
3,+,microwave,&&&&&&&&&&&&,daisy,1,0,PRACTICE,FLOWER
4,+,backpack,&&&&&&&&&&&&,lily,1,0,PRACTICE,FLOWER
5,+,lizard,&&&&&&&&&&&&,snake,2,1,PRACTICE,REPTILE
6,+,worm,&&&&&&&&&&&&,caterpillar,2,1,PRACTICE,BUG
7,+,orchid,&&&&&&&&&&&&,toaster,2,0,PRACTICE,APPLIANCE
8,+,lilac,&&&&&&&&&&&&,suitcase,2,0,PRACTICE,BAG
9,+,banana,&&&&&&&&&&&&,car,1,0,TEST,VEHICLE
10,+,pliers,&&&&&&&&&&&&,van,1,0,TEST,VEHICLE
11,+,eagle,&&&&&&&&&&&&,helicopter,1,0,TEST,VEHICLE
12,+,boots,&&&&&&&&&&&&,sailboat,1,0,TEST,VEHICLE
13,+,scooter,&&&&&&&&&&&&,bike,1,1,TEST,VEHICLE
14,+,tractor,&&&&&&&&&&&&,motorcycle,1,1,TEST,VEHICLE
15,+,subway,&&&&&&&&&&&&,trolley,1,1,TEST,VEHICLE
16,+,bus,&&&&&&&&&&&&,taxi,1,1,TEST,VEHICLE
17,+,snowmobile,&&&&&&&&&&&&,nectarine,2,0,TEST,FRUIT
18,+,yacht,&&&&&&&&&&&&,chainsaw,2,0,TEST,TOOL
19,+,hovercraft,&&&&&&&&&&&&,bluejay,2,0,TEST,BIRD
20,+,jet,&&&&&&&&&&&&,pajamas,2,0,TEST,CLOTHING
21,+,grapes,&&&&&&&&&&&&,raisin,2,1,TEST,FRUIT
22,+,sandpaper,&&&&&&&&&&&&,saw,2,1,TEST,TOOL
23,+,dove ,&&&&&&&&&&&&,pigeon,2,1,TEST,BIRD
24,+,robe,&&&&&&&&&&&&,dress,2,1,TEST,CLOTHING
25,+,truck,&&&&&&&&&&&&,giraffe,1,0,TEST,MAMMAL
26,+,lime,&&&&&&&&&&&&,dog,1,0,TEST,MAMMAL
27,+,screws,&&&&&&&&&&&&,horse,1,0,TEST,MAMMAL
28,+,woodpecker,&&&&&&&&&&&&,donkey,1,0,TEST,MAMMAL
29,+,cheetah,&&&&&&&&&&&&,lion,1,1,TEST,MAMMAL
30,+,buffalo,&&&&&&&&&&&&,cow,1,1,TEST,MAMMAL
31,+,lamb,&&&&&&&&&&&&,sheep,1,1,TEST,MAMMAL
32,+,skunk,&&&&&&&&&&&&,raccoon,1,1,TEST,MAMMAL
33,+,monkey,&&&&&&&&&&&&,sleigh,2,0,TEST,VEHICLE
34,+,hamster,&&&&&&&&&&&&,apricot,2,0,TEST,FRUIT
35,+,otter,&&&&&&&&&&&&,microscope,2,0,TEST,TOOL
36,+,deer,&&&&&&&&&&&&,pheasant,2,0,TEST,BIRD
37,+,submarine,&&&&&&&&&&&&,kayak,2,1,TEST,VEHICLE
38,+,peach,&&&&&&&&&&&&,pear,2,1,TEST,FRUIT
39,+,wheelbarrow,&&&&&&&&&&&&,ladder,2,1,TEST,TOOL
40,+,owl,&&&&&&&&&&&&,flamingo,2,1,TEST,BIRD
41,+,elephant,&&&&&&&&&&&&,knife,1,0,TEST,WEAPON
42,+,ambulance,&&&&&&&&&&&&,slingshot,1,0,TEST,WEAPON
43,+,pineapple,&&&&&&&&&&&&,cannon,1,0,TEST,WEAPON
44,+,pencil,&&&&&&&&&&&&,club,1,0,TEST,WEAPON
45,+,shotgun,&&&&&&&&&&&&,rifle,1,1,TEST,WEAPON
46,+,arrow,&&&&&&&&&&&&,bow,1,1,TEST,WEAPON
47,+,missile,&&&&&&&&&&&&,bomb,1,1,TEST,WEAPON
48,+,hatchet,&&&&&&&&&&&&,whip,1,1,TEST,WEAPON
49,+,shield,&&&&&&&&&&&&,gorilla,2,0,TEST,MAMMAL
50,+,switchblade,&&&&&&&&&&&&,limousine,2,0,TEST,VEHICLE
51,+,pistol,&&&&&&&&&&&&,papaya,2,0,TEST,FRUIT
52,+,harpoon,&&&&&&&&&&&&,calculator,2,0,TEST,TOOL
53,+,panda,&&&&&&&&&&&&,koala,2,1,TEST,MAMMAL
54,+,rollerblades,&&&&&&&&&&&&,wheelchair,2,1,TEST,VEHICLE
55,+,blueberry,&&&&&&&&&&&&,tomato,2,1,TEST,FRUIT
56,+,jack,&&&&&&&&&&&&,clamp,2,1,TEST,TOOL
57,+,sword,&&&&&&&&&&&&,celery,1,0,TEST,VEGETABLE
58,+,cat,&&&&&&&&&&&&,broccoli,1,0,TEST,VEGETABLE
59,+,airplane,&&&&&&&&&&&&,radish,1,0,TEST,VEGETABLE
60,+,raspberry,&&&&&&&&&&&&,potato,1,0,TEST,VEGETABLE
61,+,asparagus,&&&&&&&&&&&&,peas,1,1,TEST,VEGETABLE
62,+,garlic,&&&&&&&&&&&&,onions,1,1,TEST,VEGETABLE
63,+,cabbage,&&&&&&&&&&&&,lettuce,1,1,TEST,VEGETABLE
64,+,spinach,&&&&&&&&&&&&,pepper,1,1,TEST,VEGETABLE
65,+,artichoke,&&&&&&&&&&&&,armor,2,0,TEST,WEAPON
66,+,zucchini,&&&&&&&&&&&&,rat,2,0,TEST,MAMMAL
67,+,parsley,&&&&&&&&&&&&,barge,2,0,TEST,VEHICLE
68,+,shallots,&&&&&&&&&&&&,blackberry,2,0,TEST,FRUIT
69,+,taser,&&&&&&&&&&&&,mace,2,1,TEST,WEAPON
70,+,tiger,&&&&&&&&&&&&,leopard,2,1,TEST,MAMMAL
71,+,segway,&&&&&&&&&&&&,jetski,2,1,TEST,VEHICLE
72,+,kiwi,&&&&&&&&&&&&,watermelon,2,1,TEST,FRUIT
73,+,carrot,&&&&&&&&&&&&,jacket,1,0,TEST,CLOTHING
