Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dandelion,&&&&&&&&&&&&,tulip,1,1,PRACTICE,FLOWER
2,+,carnation,&&&&&&&&&&&&,rose,1,1,PRACTICE,FLOWER
3,+,microwave,&&&&&&&&&&&&,daisy,1,0,PRACTICE,FLOWER
4,+,backpack,&&&&&&&&&&&&,lily,1,0,PRACTICE,FLOWER
5,+,lizard,&&&&&&&&&&&&,snake,2,1,PRACTICE,REPTILE
6,+,worm,&&&&&&&&&&&&,caterpillar,2,1,PRACTICE,BUG
7,+,orchid,&&&&&&&&&&&&,toaster,2,0,PRACTICE,APPLIANCE
8,+,lilac,&&&&&&&&&&&&,suitcase,2,0,PRACTICE,BAG
9,+,car,&&&&&&&&&&&&,truck,1,1,VEHICLE,VEHICLE
10,+,van,&&&&&&&&&&&&,ambulance,1,1,VEHICLE,VEHICLE
11,+,hawk,&&&&&&&&&&&&,grenade,2,0,VEHICLE,WEAPON
12,+,cherry,&&&&&&&&&&&&,turnip,2,0,VEHICLE,VEGETABLE
13,+,prune,&&&&&&&&&&&&,shotgun,2,0,VEHICLE,WEAPON
14,+,grapefruit,&&&&&&&&&&&&,buffalo,2,0,VEHICLE,MAMMAL
15,+,trolley,&&&&&&&&&&&&,lamb,2,0,VEHICLE,MAMMAL
16,+,taxi,&&&&&&&&&&&&,cranberry,2,0,VEHICLE,FRUIT
17,+,nectarine,&&&&&&&&&&&&,tangerine,2,1,VEHICLE,FRUIT
18,+,chainsaw,&&&&&&&&&&&&,jackhammer,2,1,VEHICLE,TOOL
19,+,chives,&&&&&&&&&&&&,hovercraft,1,0,VEHICLE,VEHICLE
20,+,pajamas,&&&&&&&&&&&&,jet,1,0,VEHICLE,VEHICLE
21,+,sparrow,&&&&&&&&&&&&,submarine,1,0,VEHICLE,VEHICLE
22,+,saw,&&&&&&&&&&&&,rollerblades,1,0,VEHICLE,VEHICLE
23,+,tomato,&&&&&&&&&&&&,segway,1,0,VEHICLE,VEHICLE
24,+,dolphin,&&&&&&&&&&&&,jeep,1,0,VEHICLE,VEHICLE
25,+,giraffe,&&&&&&&&&&&&,elephant,1,1,MAMMAL,MAMMAL
26,+,dog,&&&&&&&&&&&&,cat,1,1,MAMMAL,MAMMAL
27,+,coconut,&&&&&&&&&&&&,mittens,2,0,MAMMAL,CLOTHING
28,+,sailboat,&&&&&&&&&&&&,boots,2,0,MAMMAL,CLOTHING
29,+,bike,&&&&&&&&&&&&,asparagus,2,0,MAMMAL,VEGETABLE
30,+,motorcycle,&&&&&&&&&&&&,arrow,2,0,MAMMAL,WEAPON
31,+,sheep,&&&&&&&&&&&&,missile,2,0,MAMMAL,WEAPON
32,+,raccoon,&&&&&&&&&&&&,bus,2,0,MAMMAL,VEHICLE
33,+,sleigh,&&&&&&&&&&&&,snowmobile,2,1,MAMMAL,VEHICLE
34,+,apricot,&&&&&&&&&&&&,fig,2,1,MAMMAL,FRUIT
35,+,poncho,&&&&&&&&&&&&,otter,1,0,MAMMAL,MAMMAL
36,+,pheasant,&&&&&&&&&&&&,deer,1,0,MAMMAL,MAMMAL
37,+,bolt,&&&&&&&&&&&&,panda,1,0,MAMMAL,MAMMAL
38,+,pear,&&&&&&&&&&&&,tiger,1,0,MAMMAL,MAMMAL
39,+,jetski,&&&&&&&&&&&&,rabbit,1,0,MAMMAL,MAMMAL
40,+,bayonet,&&&&&&&&&&&&,whale,1,0,MAMMAL,MAMMAL
41,+,knife,&&&&&&&&&&&&,sword,1,1,WEAPON,WEAPON
42,+,slingshot,&&&&&&&&&&&&,spear,1,1,WEAPON,WEAPON
43,+,helicopter,&&&&&&&&&&&&,eagle,2,0,WEAPON,BIRD
44,+,donkey,&&&&&&&&&&&&,woodpecker,2,0,WEAPON,BIRD
45,+,rifle,&&&&&&&&&&&&,seagull,2,0,WEAPON,BIRD
46,+,cow,&&&&&&&&&&&&,garlic,2,0,WEAPON,VEGETABLE
47,+,bomb,&&&&&&&&&&&&,cabbage,2,0,WEAPON,VEGETABLE
48,+,whip,&&&&&&&&&&&&,skunk,2,0,WEAPON,MAMMAL
49,+,gorilla,&&&&&&&&&&&&,monkey,2,1,WEAPON,MAMMAL
50,+,limousine,&&&&&&&&&&&&,yacht,2,1,WEAPON,VEHICLE
51,+,bluejay,&&&&&&&&&&&&,pistol,1,0,WEAPON,WEAPON
52,+,calculator,&&&&&&&&&&&&,harpoon,1,0,WEAPON,WEAPON
53,+,raisin,&&&&&&&&&&&&,taser,1,0,WEAPON,WEAPON
54,+,wheelchair,&&&&&&&&&&&&,artillery,1,0,WEAPON,WEAPON
55,+,squirrel,&&&&&&&&&&&&,catapult,1,0,WEAPON,WEAPON
56,+,squash,&&&&&&&&&&&&,machete,1,0,WEAPON,WEAPON
57,+,celery,&&&&&&&&&&&&,carrot,1,1,VEGETABLE,VEGETABLE
58,+,broccoli,&&&&&&&&&&&&,cauliflower,1,1,VEGETABLE,VEGETABLE
59,+,cannon,&&&&&&&&&&&&,pineapple,2,0,VEGETABLE,FRUIT
60,+,club,&&&&&&&&&&&&,pencil,2,0,VEGETABLE,TOOL
61,+,lion,&&&&&&&&&&&&,skirt,2,0,VEGETABLE,CLOTHING
62,+,onions,&&&&&&&&&&&&,penguin,2,0,VEGETABLE,BIRD
63,+,lettuce,&&&&&&&&&&&&,jeans,2,0,VEGETABLE,CLOTHING
64,+,pepper,&&&&&&&&&&&&,hatchet,2,0,VEGETABLE,WEAPON
65,+,armor,&&&&&&&&&&&&,shield,2,1,VEGETABLE,WEAPON
66,+,rat,&&&&&&&&&&&&,hamster,2,1,VEGETABLE,MAMMAL
67,+,microscope,&&&&&&&&&&&&,parsley,1,0,VEGETABLE,VEGETABLE
68,+,blackberry,&&&&&&&&&&&&,shallots,1,0,VEGETABLE,VEGETABLE
69,+,kayak,&&&&&&&&&&&&,corn,1,0,VEGETABLE,VEGETABLE
