Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dandelion,&&&&&&&&&&&&,tulip,1,1,PRACTICE,FLOWER
2,+,carnation,&&&&&&&&&&&&,rose,1,1,PRACTICE,FLOWER
3,+,microwave,&&&&&&&&&&&&,daisy,1,0,PRACTICE,FLOWER
4,+,backpack,&&&&&&&&&&&&,lily,1,0,PRACTICE,FLOWER
5,+,lizard,&&&&&&&&&&&&,snake,2,1,PRACTICE,REPTILE
6,+,worm,&&&&&&&&&&&&,caterpillar,2,1,PRACTICE,BUG
7,+,orchid,&&&&&&&&&&&&,toaster,2,0,PRACTICE,APPLIANCE
8,+,lilac,&&&&&&&&&&&&,suitcase,2,0,PRACTICE,BAG
9,+,strawberry,&&&&&&&&&&&&,shovel,2,0,VEHICLE,TOOL
10,+,lemon,&&&&&&&&&&&&,canary,2,0,VEHICLE,BIRD
11,+,hawk,&&&&&&&&&&&&,grenade,2,0,VEHICLE,WEAPON
12,+,cherry,&&&&&&&&&&&&,turnip,2,0,VEHICLE,VEGETABLE
13,+,bike,&&&&&&&&&&&&,scooter,1,1,VEHICLE,VEHICLE
14,+,motorcycle,&&&&&&&&&&&&,tractor,1,1,VEHICLE,VEHICLE
15,+,trolley,&&&&&&&&&&&&,lamb,2,0,VEHICLE,MAMMAL
16,+,taxi,&&&&&&&&&&&&,cranberry,2,0,VEHICLE,FRUIT
17,+,gorilla,&&&&&&&&&&&&,snowmobile,1,0,VEHICLE,VEHICLE
18,+,dagger,&&&&&&&&&&&&,yacht,1,0,VEHICLE,VEHICLE
19,+,chives,&&&&&&&&&&&&,hovercraft,1,0,VEHICLE,VEHICLE
20,+,pajamas,&&&&&&&&&&&&,jet,1,0,VEHICLE,VEHICLE
21,+,raisin,&&&&&&&&&&&&,grapes,2,1,VEHICLE,FRUIT
22,+,saw,&&&&&&&&&&&&,sandpaper,2,1,VEHICLE,TOOL
23,+,tomato,&&&&&&&&&&&&,segway,1,0,VEHICLE,VEHICLE
24,+,dolphin,&&&&&&&&&&&&,jeep,1,0,VEHICLE,VEHICLE
25,+,car,&&&&&&&&&&&&,banana,2,0,MAMMAL,FRUIT
26,+,van,&&&&&&&&&&&&,pliers,2,0,MAMMAL,TOOL
27,+,coconut,&&&&&&&&&&&&,mittens,2,0,MAMMAL,CLOTHING
28,+,sailboat,&&&&&&&&&&&&,boots,2,0,MAMMAL,CLOTHING
29,+,lion,&&&&&&&&&&&&,cheetah,1,1,MAMMAL,MAMMAL
30,+,cow,&&&&&&&&&&&&,buffalo,1,1,MAMMAL,MAMMAL
31,+,sheep,&&&&&&&&&&&&,missile,2,0,MAMMAL,WEAPON
32,+,raccoon,&&&&&&&&&&&&,bus,2,0,MAMMAL,VEHICLE
33,+,armor,&&&&&&&&&&&&,monkey,1,0,MAMMAL,MAMMAL
34,+,kale,&&&&&&&&&&&&,hamster,1,0,MAMMAL,MAMMAL
35,+,poncho,&&&&&&&&&&&&,otter,1,0,MAMMAL,MAMMAL
36,+,pheasant,&&&&&&&&&&&&,deer,1,0,MAMMAL,MAMMAL
37,+,kayak,&&&&&&&&&&&&,submarine,2,1,MAMMAL,VEHICLE
38,+,pear,&&&&&&&&&&&&,peach,2,1,MAMMAL,FRUIT
39,+,jetski,&&&&&&&&&&&&,rabbit,1,0,MAMMAL,MAMMAL
40,+,bayonet,&&&&&&&&&&&&,whale,1,0,MAMMAL,MAMMAL
41,+,giraffe,&&&&&&&&&&&&,truck,2,0,WEAPON,VEHICLE
42,+,dog,&&&&&&&&&&&&,lime,2,0,WEAPON,FRUIT
43,+,helicopter,&&&&&&&&&&&&,eagle,2,0,WEAPON,BIRD
44,+,donkey,&&&&&&&&&&&&,woodpecker,2,0,WEAPON,BIRD
45,+,rifle,&&&&&&&&&&&&,shotgun,1,1,WEAPON,WEAPON
46,+,bow,&&&&&&&&&&&&,arrow,1,1,WEAPON,WEAPON
47,+,bomb,&&&&&&&&&&&&,cabbage,2,0,WEAPON,VEGETABLE
48,+,whip,&&&&&&&&&&&&,skunk,2,0,WEAPON,MAMMAL
49,+,eggplant,&&&&&&&&&&&&,shield,1,0,WEAPON,WEAPON
50,+,blouse,&&&&&&&&&&&&,switchblade,1,0,WEAPON,WEAPON
51,+,bluejay,&&&&&&&&&&&&,pistol,1,0,WEAPON,WEAPON
52,+,calculator,&&&&&&&&&&&&,harpoon,1,0,WEAPON,WEAPON
53,+,koala,&&&&&&&&&&&&,panda,2,1,WEAPON,MAMMAL
54,+,wheelchair,&&&&&&&&&&&&,rollerblades,2,1,WEAPON,VEHICLE
55,+,squirrel,&&&&&&&&&&&&,catapult,1,0,WEAPON,WEAPON
56,+,squash,&&&&&&&&&&&&,machete,1,0,WEAPON,WEAPON
57,+,knife,&&&&&&&&&&&&,elephant,2,0,VEGETABLE,MAMMAL
58,+,slingshot,&&&&&&&&&&&&,ambulance,2,0,VEGETABLE,VEHICLE
59,+,cannon,&&&&&&&&&&&&,pineapple,2,0,VEGETABLE,FRUIT
60,+,club,&&&&&&&&&&&&,pencil,2,0,VEGETABLE,TOOL
61,+,peas,&&&&&&&&&&&&,asparagus,1,1,VEGETABLE,VEGETABLE
62,+,onions,&&&&&&&&&&&&,garlic,1,1,VEGETABLE,VEGETABLE
63,+,lettuce,&&&&&&&&&&&&,jeans,2,0,VEGETABLE,CLOTHING
64,+,pepper,&&&&&&&&&&&&,hatchet,2,0,VEGETABLE,WEAPON
65,+,gloves,&&&&&&&&&&&&,artichoke,1,0,VEGETABLE,VEGETABLE
66,+,parrot,&&&&&&&&&&&&,zucchini,1,0,VEGETABLE,VEGETABLE
67,+,microscope,&&&&&&&&&&&&,parsley,1,0,VEGETABLE,VEGETABLE
68,+,blackberry,&&&&&&&&&&&&,shallots,1,0,VEGETABLE,VEGETABLE
69,+,mace,&&&&&&&&&&&&,taser,2,1,VEGETABLE,WEAPON
